Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Jarred Vanderbilt,PF,23,TOT,78,65,1879,247,451,29,90,218,361,96,139,170,412,582,184,83,21,97,190
Draymond Green,PF,32,GSW,73,73,2297,250,474,40,131,210,343,77,108,66,459,525,500,74,60,204,229
Al Horford,C,36,BOS,63,63,1922,228,479,145,325,83,154,15,21,73,317,390,189,30,61,37,121
Kyle Lowry,PG,36,MIA,55,44,1718,196,485,107,310,89,175,116,135,43,182,225,281,57,21,103,143
Jeremy Sochan,PF,19,SAS,56,53,1458,250,552,33,134,217,418,81,116,95,200,295,142,43,23,97,138
Jalen Duren,C,19,DET,67,31,1670,258,398,0,2,258,396,96,157,229,366,595,75,44,59,92,182
Damion Lee,SG,30,PHO,74,5,1506,200,452,110,247,90,205,94,104,39,186,225,99,30,7,78,118
Cam Thomas,SG,21,BRK,57,4,948,201,456,51,133,150,323,151,174,8,87,95,78,20,7,63,55
Karl-Anthony Towns,PF,27,MIN,29,29,957,212,428,60,164,152,264,118,135,48,188,236,140,20,17,86,111
Moritz Wagner,C,25,ORL,57,18,1109,198,396,51,163,147,233,153,182,69,190,259,84,37,13,68,136
Torrey Craig,PF,32,PHO,79,60,1948,228,500,100,253,128,247,32,45,145,281,426,117,50,62,73,179
Thomas Bryant,C,25,TOT,59,26,1081,230,369,26,59,204,310,93,126,86,253,339,31,16,30,38,102
Kevon Looney,C,26,GSW,82,70,1958,242,384,0,1,242,383,94,155,274,486,760,207,52,50,45,225
Isaiah Stewart,C,21,DET,50,47,1414,195,441,67,205,128,236,110,149,115,288,403,70,20,34,68,133
Joe Harris,SF,31,BRK,74,33,1527,201,440,142,333,59,107,18,28,23,141,164,101,34,13,41,140
Trey Lyles,PF,27,SAC,74,0,1247,187,408,87,240,100,168,101,124,68,232,300,66,27,31,64,97
Reggie Bullock,SF,31,DAL,78,55,2364,192,470,151,397,41,73,26,37,32,251,283,108,54,13,36,166
Seth Curry,SG,32,BRK,61,7,1211,208,449,94,232,114,217,51,55,13,87,100,99,36,7,51,96
Brandon Clarke,PF,26,MEM,56,8,1090,229,349,1,6,228,343,99,137,92,218,310,72,34,37,55,131
Dorian Finney-Smith,PF,29,TOT,66,66,2009,196,501,114,338,82,163,45,59,114,202,316,100,55,36,62,144
Jose Alvarado,PG,24,NOP,61,10,1310,201,489,83,247,118,242,65,80,28,113,141,186,67,10,81,125
Josh Green,SG,22,DAL,60,21,1539,205,382,68,169,137,213,68,94,55,127,182,103,42,5,72,156
Luke Kennard,SG,26,TOT,59,14,1315,188,382,133,269,55,113,37,39,15,143,158,91,32,5,46,82
Jordan Nwora,SF,24,TOT,62,14,1188,194,445,86,211,108,234,68,86,51,178,229,88,24,14,66,74
Troy Brown Jr.,SF,23,LAL,76,45,1860,200,465,107,281,93,184,34,39,62,246,308,95,59,16,49,120
Devonte' Graham,PG,27,TOT,73,8,1338,161,431,119,338,42,93,98,131,19,103,122,196,45,16,53,79
Nick Richards,C,25,CHO,65,9,1217,197,313,1,1,196,312,137,183,147,269,416,38,11,71,59,154
Josh Okogie,SG,24,PHO,72,26,1350,162,414,66,197,96,217,139,192,109,142,251,105,56,34,63,114
Jalen Suggs,SG,21,ORL,53,19,1246,186,444,66,202,120,242,86,119,55,106,161,155,67,27,94,120
Hamidou Diallo,SF,24,DET,56,0,996,215,375,5,21,210,354,87,148,57,137,194,55,53,16,71,124
Terrence Ross,SG,31,TOT,63,9,1330,200,465,95,258,105,207,27,34,22,132,154,95,35,10,43,97
Drew Eubanks,C,25,POR,78,28,1584,214,334,7,18,207,316,83,125,132,286,418,103,40,102,67,169
Tre Mann,PG,21,OKC,67,5,1183,197,501,81,257,116,244,42,55,27,128,155,120,40,11,62,99
Sam Hauser,SF,25,BOS,80,8,1290,180,396,140,335,40,61,12,17,35,169,204,71,29,21,30,99
Kevin Love,PF,34,TOT,62,20,1240,165,424,99,296,66,128,80,91,59,340,399,116,16,12,70,97
Precious Achiuwa,C,23,TOR,55,12,1140,196,404,29,108,167,296,87,124,100,228,328,50,31,30,59,102
Dwight Powell,C,31,DAL,76,64,1458,197,269,0,5,197,264,112,168,149,165,314,69,48,26,65,209
