PLAYER,GP,PTS,FGM,FGA,3PM,3PA,FTM,FTA
Bismack Biyombo,36,210,86,145,0,0,38,71
Ignas Brazdeikis,42,210,81,188,27,87,21,32
Davon Reed,48,209,81,161,37,86,10,15
Saben Lee,37,208,69,177,14,60,56,71
DeAndre Jordan,48,206,92,143,0,0,22,40
Dennis Smith Jr.,37,206,79,189,6,27,42,64
Derrick Favors,39,206,94,182,2,16,16,25
Dalano Banton,64,205,83,202,13,51,26,44
Thomas Bryant,27,201,77,148,12,42,35,40
Lindy Waters III,25,199,71,175,53,146,4,5
Day'Ron Sharpe,32,198,86,149,2,7,24,41
Isaiah Joe,55,198,62,177,45,135,29,31
Tomas Satoransky,55,198,72,191,11,53,43,54
Aaron Nesmith,52,196,72,182,31,115,21,26
Markelle Fultz,18,195,83,175,4,17,25,31
Trent Forrest,60,195,76,155,5,27,38,48
Malachi Flynn,44,189,72,183,30,90,15,24
Tony Snell,53,187,69,171,45,128,4,4
Vit Krejci,30,187,68,167,32,98,19,22
Luka Garza,32,186,66,147,16,49,38,61
Rajon Rondo,39,186,68,176,31,88,19,26
Isaiah Thomas,22,184,67,167,28,83,22,26
Anthony Gill,44,180,62,109,14,26,42,52
Keifer Sykes,32,180,69,190,27,90,15,17
Collin Sexton,11,176,68,151,11,45,29,39
Brandon Goodwin,36,171,64,154,19,55,24,38
Kelan Martin,30,171,70,171,22,75,9,13
Moses Brown,40,171,64,108,0,0,43,72
Thanasis Antetokounmpo,48,171,70,128,2,14,29,46
Rodney Hood,52,163,58,157,30,91,17,19
Tony Bradley,55,163,72,123,0,0,19,29
Yuta Watanabe,38,163,56,138,27,79,24,40
Brook Lopez,13,161,61,131,19,53,20,23
Jared Butler,42,161,61,151,28,88,11,16
Matt Thomas,40,161,55,134,35,91,16,20
Sterling Brown,49,160,59,155,28,92,14,15
Joe Harris,14,158,56,124,41,88,5,6
Goran Dragic,21,157,57,151,16,63,27,33
Gorgui Dieng,44,154,53,112,29,68,19,26
Marquese Chriss,34,154,62,134,8,25,22,33
Sandro Mamukelashvili,41,154,57,115,22,52,18,22
Olivier Sarr,22,153,58,101,13,29,24,29
Patrick Williams,17,153,54,102,15,29,30,41
Elfrid Payton,50,150,67,175,4,18,12,32
Nick Richards,50,150,60,90,0,0,30,43
Admiral Schofield,38,146,54,129,26,79,12,15
James Bouknight,31,142,49,141,17,49,27,31
Kira Lewis Jr.,24,141,59,146,13,58,10,12
Wenyen Gabriel,26,141,54,110,8,28,25,42
Cody Zeller,27,140,51,90,0,4,38,49
Nathan Knight,37,138,45,88,4,13,44,60
Josh Okogie,49,133,42,104,14,47,35,51
Kent Bazemore,39,132,45,139,29,80,13,17
Santi Aldama,32,132,53,132,6,48,20,32
Juancho Hernangomez,40,131,44,106,24,69,19,34
Jarrett Culver,37,130,51,135,12,47,16,34
Markieff Morris,17,129,54,114,13,39,8,9
Enes Freedom,35,128,51,97,2,5,24,28
Elijah Hughes,36,126,47,144,25,95,7,9
Markus Howard,31,126,39,101,28,70,20,23
Andre Iguodala,31,124,46,121,17,74,15,20
Isaiah Livers,19,121,41,90,27,64,12,14
Killian Tillie,36,118,43,127,27,86,5,8
Paul Reed,38,116,54,96,2,8,6,14
Paul Millsap,33,115,45,115,8,35,17,24
Dylan Windler,50,110,37,98,21,70,15,18
Ish Wainright,45,108,41,104,19,59,7,12
Kris Dunn,14,106,44,102,1,11,17,18
David Duke Jr.,22,104,39,108,9,37,17,21
Jaylen Hoard,7,103,44,90,9,25,6,14
Justin Anderson,16,102,36,95,15,59,15,19
Gary Clark,38,101,33,88,28,70,7,10
Victor Oladipo,8,99,35,73,15,36,14,19
Boban Marjanovic,23,98,42,70,1,4,13,22
Semi Ojeleye,30,98,30,99,15,50,23,29
PJ Dozier,18,97,36,99,15,48,10,13
Trevor Ariza,24,96,33,99,20,74,10,18
Frank Kaminsky,9,95,36,66,5,15,18,20
Keljin Blevins,31,95,34,111,21,72,6,11
Kevin Knox II,30,93,31,85,15,54,16,22
Reggie Perry,10,92,40,79,3,16,9,15
Jericho Sims,41,90,39,54,0,0,12,29
Michael Porter Jr.,9,89,37,103,10,48,5,9
Miles McBride,40,89,32,108,17,68,8,12
Bruno Fernando,30,88,36,55,1,2,15,24
Georgios Kalaitzakis,13,86,31,67,10,26,14,30
Nerlens Noel,25,85,32,60,0,3,21,30
Brad Wanamaker,23,83,28,77,4,17,23,25
Jake Layman,34,81,30,73,8,35,13,18
Justin Champagnie,36,81,31,67,10,28,9,9
Lindell Wigginton,19,80,26,61,9,26,19,35
Skylar Mays,28,80,32,64,8,25,8,9
Udoka Azubuike,17,80,37,49,0,0,6,11
Braxton Key,11,79,33,72,6,21,7,13
Justin Robinson,25,78,28,93,18,61,4,8
Daishen Nix,24,77,27,67,7,26,16,30
KZ Okpala,21,77,30,69,9,26,8,11
Greg Monroe,14,76,32,57,0,0,12,23
Kyle Guy,19,74,26,65,14,40,8,12
Malcolm Hill,19,72,24,52,13,36,11,14
Charles Bassey,23,69,30,47,0,4,9,12
Denzel Valentine,24,69,25,66,19,47,0,0
Mychal Mulder,17,69,24,77,17,54,4,4
Chris Chiozza,34,67,24,81,17,53,2,3
JT Thor,33,67,24,55,7,27,12,20
Tyler Cook,20,67,23,38,0,0,21,32
Sam Hauser,26,65,23,50,19,44,0,0
Vlatko Cancar,15,62,23,41,7,12,9,14
Joe Wieskamp,29,61,20,56,14,43,7,13
Jahmi'us Ramsey,19,60,24,58,5,18,7,14
Alfonzo McKinnie,17,59,24,61,9,27,2,8
Xavier Moon,10,58,25,51,5,14,3,5
Mamadi Diakite,13,56,25,47,0,5,6,11
Jabari Parker,12,53,18,38,8,16,9,9
Cassius Stanley,9,52,19,46,4,17,10,10
Jalen Johnson,22,52,22,41,3,13,5,7
Javonte Smart,17,51,19,60,8,27,5,6
Devin Cannady,5,50,15,44,15,37,5,7
Hassani Gravett,8,50,18,38,11,26,3,4
Jamorko Pickett,13,50,18,50,13,39,1,2
Leandro Bolmaro,35,50,17,54,5,18,11,13
Jay Scrubb,18,49,18,46,6,21,7,10
Theo Pinson,19,48,14,39,10,30,10,10
Usman Garuba,24,48,19,44,5,20,5,7
Devontae Cacok,15,46,21,31,0,0,4,7
Louis King,10,45,15,47,8,27,7,10
Neemias Queta,15,45,17,38,0,0,11,17
