Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
Boston Scott,PHI,28,RB,15,0,6,4,66.7%,52,13.0,0,2,33.3,27,8.7,0.3,3.5,1
Ben Sims,GNB,23,TE,17,1,6,4,66.7%,21,5.3,1,3,66.7,12,3.5,0.2,1.2,0
Austin Trammell,LAR,25,WR,16,0,7,4,57.1%,29,7.3,0,2,28.6,14,4.1,0.3,1.8,3
Emanuel Wilson,GNB,24,RB,7,0,5,4,80.0%,23,5.8,0,1,80.0,9,4.6,0.6,3.3,1
Alex Armah,WAS,29,RB,8,0,3,3,100.0%,13,4.3,0,1,33.3,10,4.3,0.4,1.6,0
Nick Bawden,NYJ,27,FB,16,2,3,3,100.0%,21,7.0,0,1,66.7,8,7.0,0.2,1.3,0
Khari Blasingame,CHI,27,FB,16,2,6,3,50.0%,2,0.7,0,0,16.7,4,0.3,0.2,0.1,0
Miles Boykin,PIT,27,WR,17,0,4,3,75.0%,17,5.7,0,0,50.0,6,4.3,0.2,1.0,0
Michael Burton,DEN,31,FB,17,3,3,3,100.0%,8,2.7,0,2,66.7,4,2.7,0.2,0.5,0
Chris Conley,SFO,31,WR,8,0,6,3,50.0%,69,23.0,0,2,33.3,48,11.5,0.4,8.6,0
Elijah Cooks,JAX,25,WR,9,0,4,3,75.0%,38,12.7,0,2,50.0,23,9.5,0.3,4.2,0
Jashaun Corbin,NYG,23,RB,6,0,3,3,100.0%,12,4.0,0,1,33.3,7,4.0,0.5,2.0,0
Greg Dulcich,DEN,23,TE,2,1,4,3,75.0%,25,8.3,0,2,50.0,13,6.3,1.5,12.5,0
Melvin Gordon,BAL,30,RB,4,0,3,3,100.0%,46,15.3,0,3,100.0,23,15.3,0.8,11.5,1
Kevin Harris,NWE,23,RB,4,0,3,3,100.0%,58,19.3,0,2,66.7,48,19.3,0.8,14.5,0
Hunter Luepke,DAL,23,RB,17,0,4,3,75.0%,18,6.0,0,1,50.0,12,4.5,0.2,1.1,0
Jordan Mason,SFO,24,RB,17,0,4,3,75.0%,31,10.3,0,1,50.0,13,7.8,0.2,1.8,0
D.J. Montgomery,IND,27,WR,7,0,8,3,37.5%,56,18.7,1,3,37.5,34,7.0,0.4,8.0,0
Jalen Nailor,MIN,24,WR,6,1,6,3,50.0%,29,9.7,0,1,33.3,16,4.8,0.5,4.8,0
La'Mical Perine,KAN,25,RB,3,1,5,3,60.0%,33,11.0,0,1,20.0,25,6.6,1.0,11.0,0
Eric Saubert,2TM,29,,10,1,3,3,100.0%,12,4.0,0,1,100.0,5,4.0,0.3,1.2,0
Trey Sermon,IND,24,RB,14,0,6,3,50.0%,13,4.3,0,0,33.3,7,2.2,0.2,0.9,0
Steven Sims,HOU,26,WR,3,0,3,3,100.0%,25,8.3,0,1,33.3,23,8.3,1.0,8.3,0
Keith Smith,ATL,31,FB,13,6,3,3,100.0%,33,11.0,0,1,66.7,28,11.0,0.2,2.5,0
Charlie Woerner,SFO,26,TE,17,2,3,3,100.0%,32,10.7,0,1,66.7,20,10.7,0.2,1.9,0
Kayshon Boutte,NWE,21,WR,5,0,7,2,28.6%,19,9.5,0,1,28.6,11,2.7,0.4,3.8,0
J.K. Dobbins,BAL,25,RB,1,1,3,2,66.7%,15,7.5,0,0,66.7,10,5.0,2.0,15.0,0
Elijah Dotson,LAC,24,RB,4,0,2,2,100.0%,13,6.5,0,0,100.0,7,6.5,0.5,3.3,0
Kenyan Drake,2TM,29,,3,0,3,2,66.7%,31,15.5,0,0,66.7,24,10.3,0.7,10.3,1
Damien Harris,BUF,26,RB,6,0,2,2,100.0%,16,8.0,0,0,0.0,13,8.0,0.3,2.7,0
Trishton Jackson,MIN,25,WR,7,0,4,2,50.0%,9,4.5,0,0,0.0,7,2.3,0.3,1.3,0
Tyler Johnson,LAR,25,WR,1,0,3,2,66.7%,8,4.0,1,1,33.3,8,2.7,2.0,8.0,0
Chris Manhertz,DEN,31,TE,16,4,4,2,50.0%,16,8.0,0,1,50.0,10,4.0,0.1,1.0,0
Anthony McFarland Jr.,PIT,24,RB,3,0,2,2,100.0%,11,5.5,0,1,100.0,6,5.5,0.7,3.7,0
James Mitchell,DET,24,TE,15,1,2,2,100.0%,28,14.0,0,1,100.0,24,14.0,0.1,1.9,0
Quintin Morris,BUF,24,TE,15,0,3,2,66.7%,26,13.0,1,1,33.3,15,8.7,0.1,1.7,0
Dare Ogunbowale,HOU,29,RB,12,0,7,2,28.6%,18,9.0,0,0,0.0,14,2.6,0.2,1.5,0
Adam Prentice,NOR,26,FB,13,1,3,2,66.7%,12,6.0,0,0,33.3,7,4.0,0.2,0.9,1
Teagan Quitoriano,HOU,23,TE,7,5,3,2,66.7%,33,16.5,0,2,66.7,22,11.0,0.3,4.7,0
Chris Rodriguez,WAS,23,RB,13,0,2,2,100.0%,12,6.0,0,1,100.0,7,6.0,0.2,0.9,1
Willie Snead,SFO,31,WR,4,0,3,2,66.7%,14,7.0,0,0,66.7,9,4.7,0.5,3.5,0
Malik Taylor,NYJ,28,WR,3,0,4,2,50.0%,13,6.5,0,0,25.0,7,3.3,0.7,4.3,0
Sean Tucker,TAM,22,RB,11,0,2,2,100.0%,9,4.5,0,0,50.0,6,4.5,0.2,0.8,0
Ke'Shawn Vaughn,TAM,26,RB,6,0,5,2,40.0%,2,1.0,0,0,0.0,3,0.4,0.3,0.3,0
David Wells,TAM,28,TE,5,0,2,2,100.0%,-10,-5.0,0,1,50.0,1,-5.0,0.4,-2.0,1
Damien Williams,ARI,31,RB,3,0,2,2,100.0%,12,6.0,0,0,50.0,8,6.0,0.7,4.0,0
Kenny Yeboah,NYJ,25,TE,5,1,4,2,50.0%,28,14.0,0,1,50.0,20,7.0,0.4,5.6,0
Tank Bigsby,JAX,22,RB,17,0,4,1,25.0%,6,6.0,0,0,25.0,6,1.5,0.1,0.4,2
Ben Bredeson,NYG,25,G,16,16,1,1,100.0%,0,0.0,0,0,0.0,0,0.0,0.1,0.0,0
Jake Browning,CIN,27,QB,9,7,1,1,100.0%,-7,-7.0,0,0,0.0,-7,-7.0,0.1,-0.8,3
Khalil Dorsey,DET,25,CB,13,2,1,1,100.0%,31,31.0,0,1,100.0,31,31.0,0.1,2.4,0
Colton Dowell,TEN,24,WR,10,1,2,1,50.0%,3,3.0,0,0,0.0,3,1.5,0.1,0.3,0
Ross Dwelley,SFO,28,TE,12,0,2,1,50.0%,12,12.0,0,1,50.0,12,6.0,0.1,1.0,0
