Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Alejo López#,27,CIN,NL,1,2,2,1,1,1,0,0,1,0,0,0,1,0.500,0.500,1.000,1.500,290,2,0,0,0,0,0
Irving Lopez*,28,STL,NL,5,12,11,0,0,0,0,0,1,0,0,0,5,0.000,0.000,0.000,0.000,-100,0,0,0,0,1,0
Nicky Lopez*,28,TOT,MLB,93,262,225,32,52,8,3,1,25,6,2,26,40,0.231,0.326,0.307,0.632,75,69,3,6,4,1,0
Nicky Lopez*,28,KCR,AL,68,190,160,19,34,5,3,0,13,4,2,21,30,0.213,0.323,0.281,0.604,69,45,3,5,4,0,0
Nicky Lopez*,28,ATL,NL,25,72,65,13,18,3,0,1,12,2,0,5,10,0.277,0.333,0.369,0.703,89,24,0,1,0,1,0
Brandon Lowe*,28,TBR,AL,109,436,377,58,87,15,1,21,68,7,0,50,119,0.231,0.328,0.443,0.771,113,167,8,6,0,3,0
Josh Lowe*,25,TBR,AL,135,501,466,71,136,33,2,20,83,32,3,31,124,0.292,0.335,0.500,0.835,129,233,6,1,0,3,2
Nathaniel Lowe*,27,TEX,AL,161,724,623,89,163,38,3,17,82,1,0,93,165,0.262,0.360,0.414,0.775,111,258,22,5,0,3,2
Marco Luciano,21,SFG,NL,14,45,39,4,9,3,0,0,0,1,0,6,17,0.231,0.333,0.308,0.641,80,12,0,0,0,0,0
Nathan Lukes*,28,TOR,AL,29,31,26,4,5,1,1,0,2,0,0,4,9,0.192,0.290,0.308,0.598,67,8,1,0,0,1,0
Jordan Luplow,29,TOT,AL,39,90,77,11,16,3,0,2,5,2,0,12,27,0.208,0.322,0.325,0.647,80,25,1,1,0,0,1
Jordan Luplow,29,TOR,AL,7,17,14,1,3,0,0,0,1,0,0,3,8,0.214,0.353,0.214,0.567,64,3,0,0,0,0,1
Jordan Luplow,29,MIN,AL,32,73,63,10,13,3,0,2,4,2,0,9,19,0.206,0.315,0.349,0.664,83,22,1,1,0,0,0
Manny Machado,30,SDP,NL,138,601,543,75,140,21,0,30,91,3,2,50,109,0.258,0.319,0.462,0.782,115,251,20,2,0,6,1
Nick Madrigal,26,CHC,NL,92,294,270,34,71,16,1,2,28,10,2,10,24,0.263,0.311,0.352,0.663,79,95,3,9,5,0,0
Bligh Madris*,27,HOU,AL,12,30,26,4,4,1,0,0,0,0,0,4,7,0.154,0.267,0.192,0.459,31,5,0,0,0,0,0
Drew Maggi,34,PIT,NL,3,6,6,1,2,1,0,0,1,0,0,0,1,0.333,0.333,0.500,0.833,124,3,0,0,0,0,0
Luke Maile,32,CIN,NL,74,199,179,17,42,10,0,6,25,2,1,14,49,0.235,0.308,0.391,0.699,87,70,8,5,1,0,0
Martín Maldonado,36,HOU,AL,116,407,362,33,69,12,0,15,36,0,0,30,139,0.191,0.258,0.348,0.606,66,126,10,3,12,0,0
Trey Mancini,31,CHC,NL,79,263,235,31,55,12,0,4,28,0,0,21,78,0.234,0.299,0.336,0.635,71,79,5,2,0,3,1
Tucupita Marcano*,23,PIT,NL,75,220,202,16,47,12,2,3,18,5,2,10,35,0.233,0.276,0.356,0.633,72,72,2,3,3,2,0
Manuel Margot,28,TBR,AL,99,336,311,39,82,21,1,4,38,9,3,18,55,0.264,0.310,0.376,0.686,91,117,6,4,0,3,0
Jake Marisnick,32,TOT,MLB,46,83,76,10,18,3,2,2,10,2,3,3,21,0.237,0.280,0.408,0.688,86,31,4,2,1,1,0
Jake Marisnick,32,TOT,AL,42,77,71,10,16,3,2,2,10,2,2,3,21,0.225,0.263,0.408,0.672,81,29,4,1,1,1,0
Jake Marisnick,32,CHW,AL,9,2,2,1,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Jake Marisnick,32,DET,AL,33,75,69,9,16,3,2,2,10,2,2,3,20,0.232,0.270,0.420,0.691,86,29,4,1,1,1,0
Jake Marisnick,32,LAD,NL,4,6,5,0,2,0,0,0,0,0,1,0,0,0.400,0.500,0.400,0.900,149,2,0,1,0,0,0
Cade Marlowe*,26,SEA,AL,34,100,88,14,21,3,2,3,11,4,2,12,33,0.239,0.330,0.420,0.750,111,37,1,0,0,0,0
Brandon Marsh*,25,PHI,NL,133,472,404,58,112,25,6,12,60,10,2,59,144,0.277,0.372,0.458,0.829,127,185,4,4,1,4,2
