Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Kylen Granson,IND,25,TE,15,7,1,2,0,1,100.0,2,2.0,0.1,0
Noah Gray,KAN,24,TE,17,10,1,1,0,0,0.0,1,1.0,0.1,0
C.J. Ham,MIN,30,FB,17,5,1,7,0,0,100.0,7,7.0,0.4,0
Mecole Hardman,2TM,25,,11,2,1,3,0,0,0.0,3,3.0,0.3,1
Johnny Hekker,CAR,33,P,17,0,1,-11,0,0,0.0,-11,-11.0,-0.6,1
Peyton Hendershot,DAL,24,TE,8,1,1,0,0,0,0.0,0,0.0,0.0,0
Connor Heyward,PIT,24,TE,17,7,1,0,0,0,0.0,0,0.0,0.0,0
KhaDarel Hodge,ATL,28,WR,17,4,1,0,0,0,0.0,0,0.0,0.0,1
Amani Hooker,TEN,25,DB,13,13,1,2,0,1,100.0,2,2.0,0.2,0
Evan Hull,IND,23,RB,1,0,1,1,0,0,0.0,1,1.0,1.0,0
Rakim Jarrett,TAM,22,WR,10,0,1,0,0,0,0.0,0,0.0,0.0,0
Justin Jefferson,MIN,24,WR,10,9,1,-12,0,0,0.0,-12,-12.0,-1.2,1
Van Jefferson,2TM,27,,17,9,1,4,0,0,100.0,4,4.0,0.2,0
Cameron Johnston,HOU,31,P,13,0,1,-23,0,0,0.0,-23,-23.0,-1.8,0
Christian Kirk,JAX,27,WR,12,12,1,6,0,0,100.0,6,6.0,0.5,2
George Kittle*+,SFO,30,TE,16,16,1,2,0,1,100.0,2,2.0,0.1,0
Cooper Kupp,LAR,30,WR,12,12,1,-3,0,0,0.0,-3,-3.0,-0.3,0
Sam LaPorta*,DET,22,TE,17,14,1,4,0,0,100.0,4,4.0,0.2,0
John Metchie,HOU,23,WR,16,0,1,4,0,0,100.0,4,4.0,0.3,0
Nick Niemann,LAC,26,LB,17,3,1,0,0,0,0.0,-2,0.0,0.0,1
Keisean Nixon+,GNB,26,CB,17,13,1,11,0,1,100.0,11,11.0,0.6,3
Josh Palmer,LAC,24,WR,10,6,1,6,0,0,100.0,6,6.0,0.6,1
Kyle Pitts,ATL,23,TE,17,15,1,-4,0,0,0.0,-4,-4.0,-0.2,0
Jalen Reagor,NWE,24,WR,11,1,1,17,0,1,100.0,17,17.0,1.5,0
Rashee Rice,KAN,23,WR,16,8,1,-3,0,0,0.0,-3,-3.0,-0.2,2
Demarcus Robinson,LAR,29,WR,16,4,1,23,0,1,100.0,23,23.0,1.4,2
James Robinson,GNB,25,RB,1,0,1,2,0,0,0.0,2,2.0,2.0,0
Khalil Shakir,BUF,23,WR,17,10,1,10,0,1,100.0,10,10.0,0.6,1
Sterling Shepard,NYG,30,WR,15,2,1,6,0,0,100.0,6,6.0,0.4,1
Steven Sims,HOU,26,WR,3,0,1,1,0,0,0.0,1,1.0,0.3,0
Jonnu Smith,ATL,28,TE,17,6,1,0,0,0,0.0,0,0.0,0.0,1
Ryan Stonehouse,TEN,24,P,12,0,1,-11,0,0,0.0,-11,-11.0,-0.9,1
Trent Taylor,CHI,29,WR,17,0,1,-2,0,0,0.0,-2,-2.0,-0.1,2
Adam Thielen,CAR,33,WR,17,17,1,6,0,0,100.0,6,6.0,0.4,2
Logan Thomas,WAS,32,TE,16,15,1,2,0,1,100.0,2,2.0,0.1,2
Cedric Tillman,CLE,23,WR,14,3,1,8,0,0,100.0,8,8.0,0.6,0
Kyle Trask,TAM,25,QB,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0
Zeke Turner,ARI,27,LB,16,1,1,2,0,1,100.0,2,2.0,0.1,0
Tress Way,WAS,33,P,17,0,1,0,0,0,0.0,0,0.0,0.0,0
Dontayvion Wicks,GNB,22,WR,15,6,1,1,0,0,0.0,1,1.0,0.1,3
Jonathan Williams,WAS,29,RB,1,0,1,-2,0,0,0.0,-2,-2.0,-2.0,0
Mike Williams,LAC,29,WR,3,3,1,3,0,0,0.0,3,3.0,1.0,0
Robert Woods,HOU,31,WR,14,11,1,7,0,0,100.0,7,7.0,0.5,0
Logan Woodside,ATL,28,QB,1,0,1,6,0,0,100.0,6,6.0,6.0,0
Ty Zentner,2TM,25,,9,0,1,0,0,0,0.0,0,0.0,0.0,1
