id,name,position,team,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,offense_snaps,teams_offense_snaps,ypa,ypc,ypr,touches,count,comp_percentage,pass_td_percentage,int_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pass_ypg,rush_ypg,rec_ypg,ppg,ppr_ppg,ypg,pr,rookie_season,round,overall,ht,wt,forty,vertical,years_played
720,Isaiah Wright,WR,WAS,2020,REG,0,1,0,0,0,0,0,0,0,-3,0,0,0,3,16,0,0,0,0,0,27,35,197,0,0,0,136,143,10,0,0.859396,0.51130575,21.3,48.3,213,11,328,751,0,5.33,7.3,31,1,0,0,0,0,0,0,0,0,1.454545455,17.90909091,1.936363567,4.390909022,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
721,Isaiah Zuber,WR,NE,2020,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,2,0,2,2,29,0,0,0,-1,30,1,0,0.080515295,-0.009221466,5,7,50,4,26,265,0,10.5,14.5,4,1,0,0,0,0,0,0,0,0,5.25,7.25,1.25,1.75,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
722,Ishmael Hyman,WR,TB,2019,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,34,0,0,0,58,1,2,0,0.08822003,0.09426401,3.4,5.4,34,2,59,149,0,0,17,2,1,0,0,0,0,0,0,0,0,0,17,1.700000048,2.700000048,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
723,Isiah Pacheco,RB,KC,2022,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,170,830,5,3,2,37,0,13,14,130,0,0,0,-9,157,7,0,0.40592882,-0.017667906,122,135,960,17,351,1140,0,4.88,10,183,1,0,0,0,0.029,0,5,0.027,0,48.82352941,7.647058824,7.176470588,7.941176471,0,33.87,2022,7,251,10-May,216,4.37,33,1
724,Ito Smith,RB,ATL,2018,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,90,315,4,1,0,18,0,27,32,152,0,0,0,-8,160,9,0,0.8279454,-0.030083831,70.7,97.7,467,13,311,864,0,3.5,5.63,117,1,0,0,0,0.044,0,4,0.034,0,24.23076923,11.69230769,5.438461304,7.515384381,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
724,Ito Smith,RB,ATL,2019,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,22,106,1,0,0,10,0,11,14,87,0,0,0,24,72,2,0,0.3083533,0.06128505,25.3,36.3,193,7,149,475,0,4.82,7.91,33,1,0,0,0,0.045,0,1,0.03,0,15.14285714,12.42857143,3.614285605,5.185714177,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
724,Ito Smith,RB,ATL,2020,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,63,268,1,0,0,8,0,17,26,75,0,1,0,1,81,3,0,0.6491859,-0.010405466,40.3,57.3,343,14,225,976,0,4.25,4.41,80,1,0,0,0,0.016,0,1,0.012,0,19.14285714,5.357142857,2.878571374,4.092857088,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
724,Ito Smith,RB,DAL,2021,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,6.4,4,1,5,62,0,4,0,1,1,0,0,0,1,0,1,1,0,4,0,6.400000095,6.400000095,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
725,J'Mon Moore,WR,GB,2018,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,0,0,0,19,6,1,0,0.07828283,0.05038865,1.5,3.5,15,2,33,126,0,0,7.5,2,1,0,0,0,0,0,0,0,0,0,7.5,0.75,1.75,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
726,J.D. McKissic,RB,DET,2019,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,38,205,0,0,0,8,0,34,42,233,1,0,0,4,237,7,0,1.1894858,-0.022393633,49.8,83.8,438,15,250,1018,0,5.39,6.85,72,1,0,0,0,0,0.029,1,0.014,0,13.66666667,15.53333333,3.319999949,5.58666687,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
726,J.D. McKissic,RB,SEA,2016,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,16,0,0,0,3,13,0,0,0.054054055,0.008720931,1.8,3.8,18,1,7,64,0,2,8,3,1,0,0,0,0,0,0,0,0,2,16,1.799999952,3.799999952,0,33.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
